radio,day,time_played,track_title,artist_name
RFM,2024-10-26,07:00:00.000000000,NÃO ME IMPORTO,CAROLINA DESLANDES
RFM,2024-10-26,07:03:00.000000000,BOYFRIEND,DOVE CAMERON
RFM,2024-10-26,07:05:00.000000000,CLOCKS,COLDPLAY
RFM,2024-10-26,07:10:00.000000000,HÁ ALGO EM TI,LUIS TRIGACHEIRO
RFM,2024-10-26,07:13:00.000000000,MWAKI,"ZERB, SOFIYA NZAU"
RFM,2024-10-26,07:17:00.000000000,ARE YOU WITH ME,LOST FREQUENCIES
RFM,2024-10-26,07:19:00.000000000,AMIGOS COLORIDOS,BANDIDOS DO CANTE
RFM,2024-10-26,07:23:00.000000000,BAD DREAMS,TEDDY SWIMS
RFM,2024-10-26,07:26:00.000000000,MÃE,D.A.M.A
RFM,2024-10-26,07:35:00.000000000,HOUDINI,EMINEM
RFM,2024-10-26,07:39:00.000000000,UNSTOPPABLE,SIA
RFM,2024-10-26,07:43:00.000000000,CUIDO DE VOCÊ,DAVID CARREIRA feat. KELL SMITH
RFM,2024-10-26,07:46:00.000000000,HOT TO GO!,CHAPPELL ROAN
RFM,2024-10-26,07:58:00.000000000,STUMBLIN IN,CYRIL
RFM,2024-10-26,08:01:00.000000000,SOMEONE LIKE YOU,ADELE
RFM,2024-10-26,08:04:00.000000000,AMAR PELA METADE,CALEMA
RFM,2024-10-26,08:07:00.000000000,STARGAZING,MYLES SMITH
RFM,2024-10-26,08:10:00.000000000,ASSOBIA PARA O LADO,CARLÃO
RFM,2024-10-26,08:13:00.000000000,CARRY YOU HOME,ALEX WARREN
RFM,2024-10-26,08:16:00.000000000,SI ANTES TE HUBIERA CONOCIDO,KAROL G
RFM,2024-10-26,08:19:00.000000000,UNFORGETTABLE,FRENCH MONTANA feat. SWAE LEE
RFM,2024-10-26,08:23:00.000000000,BENÇÃO,"MIZZY MILES, VAN ZEE, BISPO"
RFM,2024-10-26,08:26:00.000000000,PUT YOUR RECORDS ON,CORINNE BAILEY RAY
RFM,2024-10-26,08:35:00.000000000,THE DOOR,TEDDY SWIMS
RFM,2024-10-26,08:39:00.000000000,HUNG UP,MADONNA
RFM,2024-10-26,08:42:00.000000000,OUTROS PLANOS,RITA ROCHA
RFM,2024-10-26,08:45:00.000000000,CELESTIAL,ED SHEERAN
RFM,2024-10-26,08:58:00.000000000,I ADORE YOU,"HUGEL, TOPIC, ARASH"
RFM,2024-10-26,09:02:00.000000000,ALMA NUA,VAN ZEE
RFM,2024-10-26,09:05:00.000000000,CALM DOWN,"Rema, Selena Gomez"
RFM,2024-10-26,09:09:00.000000000,THE LAZY SONG,BRUNO MARS
RFM,2024-10-26,09:12:00.000000000,DESLIZA,ANA MOURA
RFM,2024-10-26,09:14:00.000000000,BEAUTIFUL THINGS,BENSON BOONE
RFM,2024-10-26,09:17:00.000000000,ROLLING IN THE DEEP,ADELE
RFM,2024-10-26,09:21:00.000000000,NOITE,"IVANDRO, VITOR KLEY"
RFM,2024-10-26,09:25:00.000000000,DANCING IN THE FLAMES,THE WEEKND
RFM,2024-10-26,09:28:00.000000000,INESQUECÍVEL,GIULIA BE feat. LUAN SANTANA
RFM,2024-10-26,09:37:00.000000000,BIRDS OF A FEATHER,BILLIE EILISH
RFM,2024-10-26,09:41:00.000000000,DYNAMITE,BTS
RFM,2024-10-26,09:44:00.000000000,PLANETA,BISPO FT. BARBARA TINOCO
RFM,2024-10-26,09:47:00.000000000,MOVE,"ADAM PORT, STYV, KEINEMUSIK, ORSO, MALACHII"
RFM,2024-10-26,09:58:00.000000000,BELONG TOGETHER,MARK AMBOR
RFM,2024-10-26,10:01:00.000000000,I FOLLOW RIVERS (THE MAGICIAN REMIX),LYKKE LI
RFM,2024-10-26,10:04:00.000000000,EVEN,RICHIE CAMPBELL FEAT. VAN ZEE & FRANKIEONTHEGUITAR
RFM,2024-10-26,10:07:00.000000000,CLOSE TO YOU,GRACIE ABRAMS
RFM,2024-10-26,10:11:00.000000000,O PREÇO CERTO,PEDRO MÁFAMA
RFM,2024-10-26,10:14:00.000000000,SLOW IT DOWN,BENSON BOONE
RFM,2024-10-26,10:16:00.000000000,DIE WITH A SMILE,"BRUNO MARS, LADY GAGA"
RFM,2024-10-26,10:20:00.000000000,TODO DE TI,RAUW ALEJANDRO
RFM,2024-10-26,10:24:00.000000000,GAROTA,"MANINHO, MARISA LIZ"
RFM,2024-10-26,10:27:00.000000000,MEMORIES (VERSION 2021),DAVID GUETTA
RFM,2024-10-26,10:38:00.000000000,FOR CRYIN OUT LOUD,FINNEAS
RFM,2024-10-26,10:41:00.000000000,SCARED TO START,MICHAEL MARCAGI
RFM,2024-10-26,10:44:00.000000000,O AMOR É O SEGREDO,VITOR KLEY
RFM,2024-10-26,10:56:00.000000000,HOUDINI,EMINEM
RFM,2024-10-26,10:59:00.000000000,PERFUME,CALEMA
RFM,2024-10-26,11:03:00.000000000,EL MERENGUE,"MARSHMELLO, MANUEL TURIZO"
RFM,2024-10-26,11:06:00.000000000,MURDER ON THE DANCE FLOOR,SOPHIE ELLIS-BEXTOR
RFM,2024-10-26,11:10:00.000000000,ELA NÃO SABE POIS NÃO,BÁRBARA TINOCO
RFM,2024-10-26,11:13:00.000000000,THE SOUND OF SILENCE,"DISTURBED, CYRIL REMIX"
RFM,2024-10-26,11:16:00.000000000,SAFE AND SOUND,CAPITAL CITIES
RFM,2024-10-26,11:19:00.000000000,BEFORE I LOSE MY VOICE,RICHIE CAMPBELL
RFM,2024-10-26,11:22:00.000000000,HOT TO GO!,CHAPPELL ROAN
RFM,2024-10-26,11:25:00.000000000,SE EU,FERNANDO DANIEL FT. MELIM
RFM,2024-10-26,11:36:00.000000000,SI ANTES TE HUBIERA CONOCIDO,KAROL G
RFM,2024-10-26,11:39:00.000000000,MR.SAXOBEAT,ALEXANDRA STAN
RFM,2024-10-26,11:42:00.000000000,CARRY YOU HOME,ALEX WARREN
RFM,2024-10-26,11:44:00.000000000,WHY WHY WHY,SHAWN MENDES
RFM,2024-10-26,11:47:00.000000000,SOMETHING JUST LIKE THIS,"THE CHAINSMOKERS, COLDPLAY"
RFM,2024-10-26,11:59:00.000000000,FORTNIGHT,"TAYLOR SWIFT, POST MALONE"
RFM,2024-10-26,12:03:00.000000000,ON TOP OF THE WORLD,IMAGINE DRAGONS
