radio,day,time_played,track_title,artist_name
Rádio Comercial,2024-10-27,20:16:00.000000000,Lose Control,Teddy Swims
Rádio Comercial,2024-10-27,20:12:00.000000000,Garota,"Maninho, Marisa Liz"
Rádio Comercial,2024-10-27,20:08:00.000000000,Don't You Worry Child,Swedish House Mafia
Rádio Comercial,2024-10-27,20:05:00.000000000,Love The Hell Out Of You,Lewis Capaldi
Rádio Comercial,2024-10-27,19:55:00.000000000,"Olá, Solidão",Os Quatro e Meia
Rádio Comercial,2024-10-27,19:51:00.000000000,Die With A Smile,"Lady Gaga, Bruno Mars"
Rádio Comercial,2024-10-27,19:46:00.000000000,All My Love,Coldplay
Rádio Comercial,2024-10-27,19:43:00.000000000,The Door,Teddy Swims
Rádio Comercial,2024-10-27,19:40:00.000000000,Birds Of A Feather,Billie Eilish
Rádio Comercial,2024-10-27,19:37:00.000000000,The Emptiness Machine,Linkin Park
Rádio Comercial,2024-10-27,19:27:00.000000000,Close To You,Gracie Abrams
Rádio Comercial,2024-10-27,19:23:00.000000000,Amigos Coloridos,Bandidos do Cante
Rádio Comercial,2024-10-27,19:20:00.000000000,Diet Pepsi,Addison Rae
Rádio Comercial,2024-10-27,19:16:00.000000000,feelslikeimfallinginlove,Coldplay
Rádio Comercial,2024-10-27,19:13:00.000000000,Beautiful Things,Benson Boone
Rádio Comercial,2024-10-27,19:09:00.000000000,Love Yourself,Justin Bieber
Rádio Comercial,2024-10-27,18:56:00.000000000,"Ela Não Sabe, Pois Não?",Bárbara Tinoco
Rádio Comercial,2024-10-27,18:53:00.000000000,Bad Dreams,Teddy Swims
Rádio Comercial,2024-10-27,18:49:00.000000000,Dancing In the Flames,The Weeknd
Rádio Comercial,2024-10-27,18:46:00.000000000,Taste,Sabrina Carpenter
Rádio Comercial,2024-10-27,18:44:00.000000000,Slow It Down,Benson Boone
Rádio Comercial,2024-10-27,18:33:00.000000000,Re-Tratamento,Da Weasel
Rádio Comercial,2024-10-27,18:29:00.000000000,Lucky,Halsey
Rádio Comercial,2024-10-27,18:27:00.000000000,Moonlit Floor,Lisa [th]
Rádio Comercial,2024-10-27,18:24:00.000000000,Espresso,Sabrina Carpenter
Rádio Comercial,2024-10-27,18:19:00.000000000,Si Antes Te Hubiera Conocido,Karol G
Rádio Comercial,2024-10-27,18:15:00.000000000,Can't Even Hate You,Cian Ducrot
Rádio Comercial,2024-10-27,18:12:00.000000000,Desliza,Ana Moura
Rádio Comercial,2024-10-27,17:58:00.000000000,Trevo,"Anavitória, Diogo Piçarra"
Rádio Comercial,2024-10-27,17:54:00.000000000,Birds Of A Feather,Billie Eilish
Rádio Comercial,2024-10-27,17:46:00.000000000,Everytime,Britney Spears
Rádio Comercial,2024-10-27,17:43:00.000000000,Chakras,"Ivandro, Julinho Ksd"
Rádio Comercial,2024-10-27,17:35:00.000000000,Rolling in the Deep,Adele
Rádio Comercial,2024-10-27,17:31:00.000000000,Close To You,Gracie Abrams
Rádio Comercial,2024-10-27,17:27:00.000000000,I Gotta Feeling,Black Eyed Peas
Rádio Comercial,2024-10-27,17:24:00.000000000,"Ela Não Sabe, Pois Não?",Bárbara Tinoco
Rádio Comercial,2024-10-27,17:21:00.000000000,What Do You Believe In,Rag'n'Bone Man
Rádio Comercial,2024-10-27,17:18:00.000000000,Someone You Loved,Lewis Capaldi
Rádio Comercial,2024-10-27,17:15:00.000000000,Follow You,Imagine Dragons
Rádio Comercial,2024-10-27,17:12:00.000000000,Tata,Slow J
Rádio Comercial,2024-10-27,17:09:00.000000000,Always Remember Us this Way,Lady Gaga
Rádio Comercial,2024-10-27,17:06:00.000000000,Heaven,Niall Horan
Rádio Comercial,2024-10-27,16:58:00.000000000,Até Ao Fim,Maninho
Rádio Comercial,2024-10-27,16:54:00.000000000,Dancing In the Flames,The Weeknd
Rádio Comercial,2024-10-27,16:45:00.000000000,Elastic Heart,"Sia, Diplo, The Weeknd"
Rádio Comercial,2024-10-27,16:41:00.000000000,Noite,"Ivandro, Vitor Kley"
Rádio Comercial,2024-10-27,16:31:00.000000000,What about Us,Pink
Rádio Comercial,2024-10-27,16:27:00.000000000,Lucky,Halsey
Rádio Comercial,2024-10-27,16:24:00.000000000,What Was I Made For?,Billie Eilish
Rádio Comercial,2024-10-27,16:20:00.000000000,O Amor É Assim,"HMB, Carminho"
Rádio Comercial,2024-10-27,16:17:00.000000000,All the Right Moves,OneRepublic
Rádio Comercial,2024-10-27,16:14:00.000000000,Belong Together,Mark Ambor
Rádio Comercial,2024-10-27,16:11:00.000000000,Cidade,"Bárbara Tinoco, Bárbara Bandeira"
Rádio Comercial,2024-10-27,16:08:00.000000000,Attention,Charlie Puth
Rádio Comercial,2024-10-27,16:05:00.000000000,Si Antes Te Hubiera Conocido,Karol G
Rádio Comercial,2024-10-27,15:57:00.000000000,Ouvi Dizer,Melim
Rádio Comercial,2024-10-27,15:53:00.000000000,Love The Hell Out Of You,Lewis Capaldi
Rádio Comercial,2024-10-27,15:43:00.000000000,Dani California,Red Hot Chili Peppers
Rádio Comercial,2024-10-27,15:39:00.000000000,Maria Joana,"Nuno Ribeiro, Mariza, Calema"
Rádio Comercial,2024-10-27,15:29:00.000000000,Firestone,"Kygo, Conrad"
Rádio Comercial,2024-10-27,15:26:00.000000000,Si No Estás,Iñigo Quintero
Rádio Comercial,2024-10-27,15:23:00.000000000,Garota,"Maninho, Marisa Liz"
Rádio Comercial,2024-10-27,15:20:00.000000000,Slow It Down,Benson Boone
Rádio Comercial,2024-10-27,15:16:00.000000000,Let Her Go,Passenger [uk]
Rádio Comercial,2024-10-27,15:13:00.000000000,A Bar Song (Tipsy),Shaboozey
Rádio Comercial,2024-10-27,15:10:00.000000000,Lua,Ivandro
Rádio Comercial,2024-10-27,15:06:00.000000000,Feel so Close,Calvin Harris
Rádio Comercial,2024-10-27,15:04:00.000000000,Austin,Dasha
Rádio Comercial,2024-10-27,14:57:00.000000000,Ao Teu Ouvido,"Buba Espinho, Bárbara Tinoco"
Rádio Comercial,2024-10-27,14:54:00.000000000,The Emptiness Machine,Linkin Park
Rádio Comercial,2024-10-27,14:45:00.000000000,Diamonds,Rihanna
Rádio Comercial,2024-10-27,14:41:00.000000000,Amigos Coloridos,Bandidos do Cante
