track_title,artist_name,spotify_album,spotify_release_date,spotify_duration_ms,spotify_popularity,spotify_genres,spotify_danceability,spotify_energy,spotify_valence,spotify_acousticness,spotify_instrumentalness,spotify_liveness,spotify_speechiness,spotify_tempo,spotify_mode,spotify_loudness,spotify_time_signature
VER-TE DORMIR,CARLAO,Ver-te Dormir,2024-06-05,187669,30,hip hop tuga,0.868,0.763,0.617,0.118,0.00011,0.108,0.115,145.04,0,-4.871,4
In My Feelings,Drake,Scorpion,2018-06-29,217925,71,canadian hip hop,0.835,0.626,0.35,0.0589,0.00006,0.396,0.125,91.03,1,-5.833,4
SOMETHING JUST LIKE THIS,"THE CHAINSMOKERS, COLDPLAY",Memories...Do Not Open,2017-04-07,247160,86,pop,0.617,0.635,0.446,0.0498,0.0000144,0.164,0.0317,103.019,0,-6.769,4
Stereo Love,Edward Maya,Stereo Love,2009-01-01,185120,70,romanian house,0.775,0.726,0.206,0.0399,0.0235,0.11,0.0369,126.999,1,-5.629,4
COLD HEART (PNAU REMIX),"ELTON JOHN, DUA LIPA",The Lockdown Sessions,2021-10-22,202735,67,glam rock,0.795,0.8,0.934,0.0354,0.0000725,0.0915,0.0309,116.032,1,-6.32,4
DANCING WITH A STRANGER,SAM SMITH & NORMANI,Love Goes,2020-10-30,171029,75,pop,0.741,0.52,0.347,0.447,1.97e-6,0.222,0.0656,102.998,1,-7.513,4
CLOSER,THE CHAINSMOKERS [+] HALSEY,Closer,2016-07-29,244960,84,pop,0.748,0.524,0.661,0.414,0.0,0.111,0.0338,95.01,1,-5.599,4
MÃE,D.A.M.A,Game Of Thrones: Season 6 (Music from the HBO Series),2016-06-24,172664,33,german soundtrack,0.151,0.0532,0.0348,0.754,0.679,0.102,0.0368,75.239,0,-20.311,4
WHERE SHE GOES,Bad Bunny,WHERE SHE GOES,2023-05-18,231704,74,reggaeton,0.652,0.8,0.234,0.143,0.629,0.112,0.0614,143.978,0,-4.019,4
Work,Charlotte Day Wilson,CDW,2016-08-26,224481,61,alternative r&b,0.623,0.296,0.158,0.522,0.211,0.0801,0.0311,129.949,1,-8.036,3
PERFUME,CALEMA,Perfume,2023-11-24,220833,54,musica santomense,0.488,0.818,0.512,0.21,0.0,0.321,0.163,96.169,0,-6.784,4
disease,lady gaga,Disease,2024-10-25,229997,84,art pop,0.562,0.917,0.501,0.0513,0.0,0.488,0.117,100.987,0,-2.768,4
Conversations in the Dark,John Legend,Bigger Love,2020-06-19,235653,56,neo soul,0.361,0.357,0.153,0.704,0.0,0.219,0.0312,122.962,0,-8.423,4
Trevo,"Anavitória, Diogo Piçarra",Trevo (Tu),2017-10-13,206181,42,folk brasileiro,0.638,0.467,0.473,0.765,0.0,0.132,0.0256,99.805,1,-7.946,4
LOCKED OUT OF HEAVEN,BRUNO MARS,Unorthodox Jukebox,2012-12-07,233478,87,dance pop,0.726,0.698,0.867,0.049,0.0,0.309,0.0431,143.994,1,-4.165,4
O Regresso,The Gift,Coral,2022-11-04,185400,29,portuguese rock,0.528,0.362,0.185,0.691,0.00205,0.138,0.0384,122.085,1,-11.784,4
