track_title,artist_name,spotify_album,spotify_release_date,spotify_duration_ms,spotify_popularity,spotify_genres
Quando a Chuva Passar,Ivete Sangalo,As Super Novas,2005-01-01,246280,49,arrocha
BLANK SPACE,TAYLOR SWIFT,1989,2014-10-27,231826,69,pop
On Top of the World,Imagine Dragons,Night Visions (Deluxe),2012-09-04,189840,67,modern rock
REDRUM,21 SAVAGE,american dream,2024-01-12,270697,82,atl hip hop
SELFISH,JUSTIN TIMBERLAKE,Selfish,2024-01-25,229331,67,dance pop
Heaven,Cian Ducrot,Victory,2023-08-04,232944,44,irish pop
CARRO,BARBARA BANDEIRA FEAT. DILLAZ,Finda,2023-10-06,202624,56,portuguese pop
Chakras,Ivandro,Trovador,2024-02-16,195764,54,hip hop tuga
LOVE THE WAY YOU LIE,EMINEM feat. RIHANNA,Recovery,2010-06-18,263373,83,detroit hip hop
FOGO,SLOW J,Afro Fado,2023-11-24,170400,52,hip hop tuga
I FEEL IT COMING,THE WEEKND FT. DAFT PUNK,Karaoke Picks Vol. 26,2016-12-23,276451,5,karaoke
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,2018-12-10,239835,81,chicago rap
Let You Go,Richie Campbell,Heartbreak & Other Stories,2023-03-17,204320,45,hip hop tuga
O amor nunca acaba,Diana Castro,O Amor Nunca Acaba,2023-11-17,193626,21,musica portuguesa contemporanea
Unholy,Sam Smith,Unholy (feat. Kim Petras),2022-09-22,156943,77,pop
The Zephyr Song,Red Hot Chili Peppers,By the Way (Deluxe Edition),2002-07-09,231933,71,alternative rock
I SEE FIRE,ED SHEERAN,x (10th Anniversary Edition),2024-06-21,299146,68,pop
DANCING IN THE FLAMES,THE WEEKND,Dancing In The Flames,2024-09-13,220036,85,canadian contemporary r&b
"BOA SORTE, GOOD LUCK",VANESSA DA MATA [+] BEN HARPER,Sim,2007-01-01,235600,62,mpb
Lunch,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,179586,87,art pop
ESPRESSO,SABRINA CARPENTER,Espresso,2024-04-12,175459,92,pop
Na Escola,Os Quatro e Meia,Os Quatro e Meia - Ao Vivo no Estádio Cidade de Coimbra,2023-11-24,312750,20,portuguese folk
This Love,Maroon 5,Songs About Jane: 10th Anniversary Edition,2002-01-01,206200,82,pop
One Kiss,Calvin Harris,One Kiss (with Dua Lipa),2018-04-06,214846,78,dance pop
TA TUDO BEM,T-REX,COR D'ÁGUA,2023-01-20,272637,53,hip hop tuga
SINCERO,MURTA,Sincero,2024-05-10,124823,33,hip hop tuga
Physical,Dua Lipa,Future Nostalgia,2020-03-27,193829,75,dance pop
MARIA JOANA,"NUNO RIBEIRO, CALEMA, MARIZA",Maria Joana,2023-04-14,227807,55,portuguese pop
IF YOURE NOT THE ONE,DANIEL BEDINGFIELD,Gotta Get Thru This,2002-01-01,257160,48,europop
Under The Influence,Chris Brown,Indigo (Extended),2019-10-04,184613,84,r&b
PODE TENTAR,MANINHO,Pode Tentar,2021-05-28,155307,50,portuguese pop
BRUISES,LEWIS CAPALDI,Divinely Uninspired To A Hellish Extent,2019-05-17,220492,78,pop
Stay,The Kid Laroi,F*CK LOVE 3+: OVER YOU,2021-07-27,141805,82,australian hip hop
SHAKE IT OFF,TAYLOR SWIFT,1989,2014-10-27,219200,68,pop
Too Sweet,Hozier,Unreal Unearth: Unaired,2024-08-19,251424,78,irish singer-songwriter
TU AMOR,"MATIAS DAMÁSIO, CARLOS RIVERA",Tu Amor,2024-02-23,233508,39,kizomba
DESLIZA,ANA MOURA,Desliza,2024-09-19,160600,48,fado
FICA,DOMINGUES,Fica,2020-05-10,260571,51,hip hop tuga
VAI VAGUEAR,BIA CABOZ,Vai Vaguear,2024-09-27,210989,27,""
La Noche de Anoche,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,203200,74,reggaeton
Another Love,Tom Odell,Long Way Down (Deluxe),2013-06-24,244360,86,chill pop
NOITE,IVANDRO & VITOR KLEY,Trovador,2024-02-16,206522,49,hip hop tuga
Unbelievable,Craig David,The Story Goes...,2005-09-06,202186,48,british soul
EVERYBODYS CHANGING,KEANE,Hopes And Fears,2004-01-01,215160,64,neo mellow
RUNAWAY,ONEREPUBLIC,Artificial Paradise (Deluxe),2024-07-12,145031,61,piano rock
EMBRACE IT,NDOTZ,Embrace It,2024-08-23,104418,88,chill drill
Bam Bam,"Camila Cabello, Ed Sheeran",Familia,2022-04-07,206070,69,dance pop
Bom Dia,"Bluay, Irina Barros",Bom Dia,2024-09-19,195529,45,trap tuga
SHIVERS,ED SHEERAN,=,2021-10-25,207853,82,pop
I FOLLOW RIVERS (THE MAGICIAN REMIX),LYKKE LI,I Follow Rivers (The Magician Remix),2011-10-10,280069,69,art pop
FANTASMA,ANA LAURA LOPES,Era uma vez,2024-08-09,145996,66,viral pop brasileiro
Turn Me On,Norah Jones,Come Away With Me (Super Deluxe Edition),2002-02-26,154800,69,contemporary vocal jazz
Tempo,FrankieontheGuitar,Tempo,2020-02-28,250169,52,hip hop tuga
Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,2019-05-17,182160,86,pop
It Could Have Been Us,"Christopher, Griff",It Could Have Been Us (feat. Griff),2024-09-13,170412,56,danish pop
"I Love You, I'm Sorry",Gracie Abrams,The Secret of Us,2024-06-21,157146,90,alt z
TOQUE-TOQUE,DA WEASEL,"Amor, Escárnio E Maldizer",2007-03-30,292080,31,hip hop tuga
Dançarina,Pedro Sampaio,"DANÇARINA (feat. Nicky Jam, MC Pedrinho) [Remix]",2022-06-10,212000,61,funk carioca
Até Ao Fim,Maninho,Até ao Fim,2023-11-03,204884,53,portuguese pop
CLOCKS,COLDPLAY,A Rush of Blood to the Head,2002-08-27,307879,82,permanent wave
Free Fallin' [live],John Mayer,Where the Light Is: John Mayer Live In Los Angeles,2008-01-01,263573,68,neo mellow
Chamadas,Ivandro,Trovador,2024-02-16,155456,53,hip hop tuga
Stuck with U,Ariana Grande,Stuck with U,2020-05-08,228482,78,pop
HEAD DOWN,LOST FREQUENCIES & BASTILLE,All Stand Together,2023-11-10,173888,62,belgian edm
Infinity,Jaymes Young,Feel Something,2017-06-23,237720,76,indie poptimism
Sei Lá,Bárbara Tinoco,"Bárbara,",2021-10-21,202453,44,portuguese pop
Luna,Feid,FERXXOCALIPSIS,2023-12-01,196800,88,colombian pop
Good 4 U,Olivia Rodrigo,SOUR,2021-05-21,178146,82,pop
You Give Me Something,James Morrison,Undiscovered,2006-01-01,212933,50,neo mellow
NOVIDADE NA AREA,MC LIVINHO & DJ MATT D,Novidade na Área,2023-06-23,120014,65,funk carioca
CORDAPELE,SLOW J,Afro Fado,2023-11-24,178815,50,hip hop tuga
Leave the Door Open,Silk Sonic,An Evening With Silk Sonic,2021-11-11,242096,78,dance pop
ON TOP OF THE WORLD,IMAGINE DRAGONS,Night Visions (Deluxe),2012-09-04,189840,67,modern rock
Days Like This,Dermot Kennedy,Without Fear (The Complete Edition),2020-11-06,149803,60,folk-pop
Whatever It Takes,Imagine Dragons,Evolve,2017-06-23,201240,81,modern rock
All My Love,Coldplay,Moon Music,2024-10-04,222647,75,permanent wave
O TEU CHEIRO,BISPO,O Teu Cheiro,2024-10-11,170290,57,hip hop tuga
Agarra em Mim,"Ana Moura, Pedro Mafama",Casa Guilhermina,2022-11-11,207944,43,fado
HEARTLESS,THE WEEKND,After Hours,2020-03-20,198266,77,canadian contemporary r&b
THE REASON,HOOBASTANK,The Reason (20th Anniversary),2024-01-12,232800,79,alternative metal
JURO,JOANA OLIVEIRA,Juro,2022-09-16,210700,34,""
Seya,Gims,Seya,2023-10-06,188484,73,""
WHAT WAS I MADE FOR,BILLIE EILISH,"What Was I Made For? [From The Motion Picture ""Barbie""]",2023-07-13,222369,85,art pop
Popular,The Weeknd,Popular (Music from the HBO Original Series),2023-06-02,215466,83,canadian contemporary r&b
ARE YOU WITH ME,LOST FREQUENCIES,Less Is More,2016-10-21,138013,68,belgian edm
BRUTOS DIAMANTES,"SYRO, BISPO",11 11,2023-11-11,176320,56,portuguese pop
Uprising,Muse,The Resistance,2009-09-10,304840,74,alternative rock
The Door,Teddy Swims,I've Tried Everything But Therapy (Part 1),2023-09-15,212648,86,""
Airplanes,B.o.B.,B.o.B Presents: The Adventures of Bobby Ray,2010-04-27,180480,74,atl hip hop
Sweet about Me,Gabriella Cilmi,Lessons To Be Learned,2008-01-01,202026,39,australian pop
Water,Tyla,Water,2023-07-28,200255,84,""
A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),2024-04-12,171291,87,modern country pop
Even,Richie Campbell,IT WILL HURT BOTH WAYS,2024-06-14,187869,60,hip hop tuga
HERO,NELSON FREITAS,Black Butterfly,2024-02-23,206657,40,kizomba
AMAR DE COR,VAN ZEE,do.mar,2023-12-01,165424,55,hip hop tuga
SITTIN ON THE DOCK OF THE BAY,MICHAEL BOLTON,The Hunger,1987-10-06,231240,36,soft rock
Boulevard of Broken Dreams,Green Day,Greatest Hits: God's Favorite Band,2017-11-17,262333,70,modern rock
PAINT THE TOWN RED,DOJA CAT,Paint The Town Red,2023-08-04,231750,79,dance pop
CASA,"D.A.M.A., BUBA ESPINHO",CASA,2022-11-25,208484,51,portuguese pop
