artist_name,wiki_nationality,wiki_artist_start_date
KELLY CLARKSON,United States,2002-01-01
murta feat jura,Unknown,
Seal,Unknown,
SELENA GOMEZ,United States,2002-01-01
Casper Magico ,Unknown,
SPANDAU BALLET,Unknown,1979-01-01
LIGHTHOUSE FAMILY,Unknown,1993-01-01
DAVID GUETTA x GIRL ON COUCH x BILLEN TED,Unknown,
Mary J. Blige,United States,1989-01-01
FLOWEROVLOVE,United Kingdom,
Run the Jewels ,Unknown,2013-01-01
"karol g, maldy ",Unknown,
PAT BENATAR,United States,1979-01-01
BERLIN,Unknown,
"Quincy Jones, Tevin Campbell",United States,1988-01-01
LINDA PERRY,United States,1990-01-01
Jay Sean,United Kingdom,2002-01-01
MIMI WEBB,United Kingdom,2020-01-01
LUKAS GRAHAM,Unknown,2011-01-01
ENRIQUE IGLESIAS FT. PITBULL,Unknown,
RIHANNA feat. NE-YO,Unknown,
BRYAN ADAMS [+] ROD STEWART [+] STING,Unknown,
TEMPTATIONS,Unknown,1960-01-01
FRANKiE GOES TO HOLLYWOOD,Unknown,1980-01-01
the cure,Unknown,1978-01-01
GYM CLASS HEROES [+] PATRICK STUMP,Unknown,1997-01-01
BILLIE EILISH,United States,2015-01-01
GIGI PEREZ,United States,2000-02-04
Heróis do Mar,Unknown,1981-01-01
Major Lazer,Unknown,2008-01-01
EUROPE,Unknown,
ESTELLE [+] KANYE WEST,United Kingdom,2004-01-01
Joji,Japan,2006-01-01
Miguel Dias,Cuba,1960-04-20
Nicki Minaj ,Trinidad and Tobago,2002-01-01
Niall Horan,Ireland,2010-01-01
"D.A.M.A, LOS ROMEROS",El Salvador,1918-08-15
James Bay,Unknown,
Sam Smith,United Kingdom,2007-01-01
SHAWN MENDES & CAMILA CABELLO,Unknown,
DJ Snake,France,2008-01-01
Marshmello,United States,2013-01-01
Foo Fighters,Unknown,1994-01-01
JVKE,United States,2001-03-03
Jovem Dionisio,Unknown,
"MIGUEL ARAUJO, OS QUATRO E MEIA",Unknown,
WET BED GANG,Unknown,2014-01-01
James Morrison,United Kingdom,2006-01-01
"PABLO ALBORAN, MARIA BECERRA",Spain,2010-01-01
JAMES BAY,Unknown,
TYLA,South Africa,2019-01-01
BIANCA BARROS,Unknown,
LOST FREQUENCIES & CALUM SCOTT,Unknown,
Destiny's Child,Unknown,1990-01-01
Kodak Black ,United States,2009-01-01
Cian Ducrot,Ireland,1997-01-01
HALSEY,Unknown,
JAMES ARTHUR,United Kingdom,2011-01-01
ALEXANDRA STAN,Romania,2009-01-01
SIA,Australia,1993-01-01
HOOBASTANK,Unknown,1994-01-01
Leela James,United States,2005-01-01
Creed,Unknown,
Kings of Leon,Unknown,2000-01-01
DJO,Unknown,
JULINHO KSD FEAT. SORAIA RAMOS,Unknown,
CARLY RAE JEPSEN,Canada,2008-01-01
DAVID CARREIRA FEAT. DJODJE,Unknown,
Kali Uchis,United States,2012-01-01
Tiago Bettencourt,Portugal,1979-09-16
"NUNO RIBEIRO, LOONY JOHNSON",Unknown,
Pharrell Williams,United States,1992-01-01
Doja Cat,United States,2012-01-01
Gama WNTD,Unknown,
ELTON JOHN,United Kingdom,1962-01-01
MODJO,Unknown,1998-01-01
USHER feat. PITBULL,Unknown,
CARLAO,Unknown,
"AgroPlay, Ana Castela",Brazil,2003-11-16
Imagine Dragons,Unknown,2008-01-01
"Buba Espinho, Bárbara Tinoco",Unknown,
Liam Payne,United Kingdom,2008-01-01
ADELE,United Kingdom,2006-01-01
Riton,Unknown,
Hugel,France,1987-12-04
Matuê,Brazil,2015-01-01
JUSTIN BIEBER,Canada,2007-01-01
ONEREPUBLIC,Unknown,2002-01-01
JURA,Unknown,
"SYRO, BISPO",Unknown,
Bzrp ,Argentina,1998-08-29
"Lady Gaga, Colby Odonis",United States,1999-01-01
"DIOGO PIÇARRA, PEDRO ABRUNHOSA",Unknown,
Seu Jorge,Brazil,1998-01-01
ELIZA ROSE & CALVIN HARRIS,Unknown,
Bruce Springsteen,United States,1969-01-01
"Nelly Furtado, Reamonn",Ireland,1999-01-01
BRITNEY SPEARS,United States,1992-01-01
Plain White T's,Unknown,1997-01-01
Madcon,Unknown,1992-01-01
LENNY KRAVITZ,United States,1988-01-01
RICHIE CAMPBELL,United Kingdom,2006-01-01
SORAIA RAMOS FEAT. CAROLINA DESLANDES,Unknown,
"Ana Moura, Pedro Mafama",Portugal,1979-09-17
"IVANDRO, VITOR KLEY",Unknown,
ATOA & GRUPO ACADEMICO SEISTETOS,Unknown,
BASTILLE,Unknown,
"DJ WN, DJ GM, MC PULIN DA CAPITAL, RYAN SP, PIEDRO & DANIEL",Unknown,
ADDISON RAE,United States,2019-01-01
JASON DERULO,United States,2006-01-01
THE WEEKND FT. DAFT PUNK,Unknown,
"BLUAY, JULINHO KSD",Unknown,
SLOW J,Portugal,2013-01-01
Jaymes Young,United States,2013-01-01
"BIANCA BARROS, NUNO LANHOSO, RITA ROCHA",Unknown,
KHALID & NORMANI,United States,2012-01-01
"LMFAO, Lauren Bennett , Goonrock",United Kingdom,2007-01-01
"Pink, Nate Ruess",United States,2002-01-01
David Carreira,Portugal,2008-01-01
BARBARA TINOCO,Portugal,1998-11-16
Richie Campbell,United Kingdom,2006-01-01
Os Azeitonas,Unknown,
MARK RONSON [+] AMY WINEHOUSE,Unknown,
HANUMANKIND feat. KALMI,Unknown,
"BRUNO MARS, LADY GAGA",Unknown,
BTS,Unknown,2013-01-01
ALICIA KEYS,United States,1996-01-01
"Jimmy P, Diogo Piçarra",Portugal,2006-01-01
Reamonn,Unknown,1999-01-01
Zayn,United Kingdom,
Christina Perri,United States,2008-01-01
Maluma,Colombia,2010-01-01
Young Thug ,United States,2010-01-01
Rosa Linn,Armenia,2013-01-01
T-Rex,Unknown,
MIZZY MILES FEAT. VAN ZEE & BISPO,Portugal,2012-01-01
Hozier,Ireland,2008-01-01
CAROLINA DE DEUS,Unknown,
ELTON JOHN & DUA LIPA,Unknown,
Kate Winslet,United Kingdom,1991-01-01
FERNANDO DANIEL FT. MELIM,Unknown,
VANESSA DA MATA [+] BEN HARPER,Brazil,2002-01-01
B.o.B.,United States,2006-01-01
"Zzoilo, Aitana",Spain,2017-01-01
d4vd,United States,2021-01-01
Pablo Alborán,Spain,2010-01-01
Karol G ,Colombia,2006-01-01
LORDE,New Zealand,2009-01-01
MEGAN THEE STALLION & RENEE RAPP,United States,2016-01-01
MATIAS DAMÁSIO,Angola,2000-01-01
Artemas,United Kingdom,2019-01-01
ALEXANDRA BURKE,United Kingdom,2008-01-01
SHAKIRA feat. CARDI B.,Unknown,
PHIL COLLINS,United Kingdom,1968-01-01
Rihanna,Barbados,2005-01-01
BEYONCE,United States,1997-01-01
"Jonas Blue, JP Cooper",Unknown,
WIZ KHALIFA feat. SNOOP DOGG & BRUNO MARS,Unknown,
lil uzi vert ,United States,2010-01-01
"Pink, Willow Sage Hart",Unknown,
DAVID CARREIRA feat. KELL SMITH,Portugal,2008-01-01
CARLÃO,Unknown,
RAYE feat. 070 SHAKE,United States,2015-01-01
JASON DERULO FEAT. DIDO,Unknown,
THE SCRIPT,Unknown,2001-01-01
Jennifer Lopez,United States,1986-01-01
RIHANNA,Barbados,2005-01-01
SNOW PATROL,Unknown,1994-01-01
Harry Styles,United Kingdom,2010-01-01
BEYONCÃ‰ & SHAKIRA,Unknown,
PEDRO SAMPAIO,Brazil,2012-01-01
Resistência,Unknown,2010-01-01
Liquideep,Unknown,2007-01-01
PURPLE DISCO MACHINE & KUNGS,Germany,2012-01-01
Bianca Barros,Unknown,
Diogo Piçarra,Portugal,2006-01-01
Leona Lewis,United Kingdom,2005-01-01
Rui Veloso,Portugal,1980-01-01
"THE WEEKND, PLAYBOI CARTI",Unknown,
Grelo,Unknown,
"Taylor Swift, Shawn Mendes",Unknown,
BLACK EYED PEAS x OZUNA x J. REY SOUL,Unknown,
TIESTO FT. KAROL G,Colombia,2006-01-01
Alicia Keys,United States,1996-01-01
IÑIGO QUINTERO,Spain,2001-12-12
ALEX WARREN,United States,2000-09-18
KENYA GRACE,United Kingdom,1998-05-08
Daft Punk,Unknown,1993-01-01
BISPO,Unknown,
"Avicii, Aloe Blacc",Unknown,
Zero 7,Unknown,1997-01-01
Ashanti,Unknown,1989-01-01
ANA MOURA FT. PEDRO MÁFAMA,Unknown,
"Ivandro, Vitor Kley",Unknown,
BENSON BOONE,United States,2021-01-01
"Topic, A7S",Sweden,1994-05-03
Jordin Sparks,United States,2006-01-01
CYRIL & MARYJO,Australia,1997-01-01
MUNI LONG,United States,2008-01-01
PIRUKA feat. BLUAY,Portugal,2013-01-01
LOST FREQUENCIES,Belgium,2014-01-01
Leonor Arroja,Unknown,
"Pablo Alborán, Maria Becerra",Spain,2010-01-01
Slow J,Portugal,2013-01-01
"Chris Brown, Young Thug",Unknown,
OLIVIA NEWTON-JOHN,Australia,1963-01-01
French Montana,Algeria,2002-01-01
JAYMES YOUNG,United States,2013-01-01
DIOGO PIÇARRA FT. CAROLINA DESLANDES,Unknown,
ANAVITORIA FT. DIOGO PIÇARRA,Unknown,
JÃO,Brazil,1994-11-03
The Lumineers,Unknown,2005-01-01
Gavin James,Unknown,
THE WEEKND FT SWEDISH HOUSE MAFIA,Unknown,2007-01-01
SORAIA RAMOS,Unknown,
"David Fonseca, Márcia",Unknown,
"Os Quatro e Meia, Carlão",Unknown,
Daddy Yankee ,United States,1994-01-01
ANA VILELA FT. DAVID CARREIRA,Unknown,
LADY GAGA [+] COLBY O`DONIS,Unknown,1999-01-01
"COLDPLAY, BTS",Unknown,
"GALANTIS, DAVID GUETTA & 5 SECONDS OF SUMMER",Unknown,
Fergie,United States,1983-01-01
BlocBoy JB ,United States,2012-01-01
Rogério Charraz,Unknown,
"Bispo, Bárbara Tinoco",Unknown,
Melim,Unknown,2015-01-01
Dennis,Unknown,
LEONA LEWIS,United Kingdom,2005-01-01
THE SCRIPT [+] WILL.I.AM,Unknown,
Tyla,South Africa,2019-01-01
Post Malone,United States,2011-01-01
EXPENSIVE SOUL,Unknown,1999-01-01
AVICII feat. ALOE BLACC,Unknown,
Jessie J,United Kingdom,1999-01-01
Pedro Abrunhosa,Portugal,1985-01-01
3 Doors Down,Unknown,1996-01-01
AVRIL LAVIGNE,Canada,1999-01-01
LIMP BIZKIT,Unknown,1994-01-01
THE WEEKND feat. KENDRICK LAMAR,Unknown,
"Mizzy Miles, Bispo, Van Zee",Portugal,2012-01-01
FINNEAS,United States,2011-01-01
DAFT PUNK,Unknown,1993-01-01
Bruno Mars,United States,2004-01-01
LADY GAGA & BRUNO MARS,Unknown,
OLIVIA RODRIGO,United States,2015-01-01
"Jonas Blue, Dakota",England,2015-01-01
AUREA,Unknown,
ANTONIO JOSÉ FT. DIOGO PIÇARRA,Unknown,
"MOBLACK & SALIF KEITA feat. CESARIA EVORA, BENJA & FRANC FALA",Unknown,
"Shawn Mendes, Camila Cabello",Unknown,
KAROL G,Colombia,2006-01-01
"Calvin Harris, Disciples",Unknown,
"DAVID GUETTA, ANNE-MARIE, COI LERAY",United States,2017-01-01
Bandidos do Cante,Unknown,
David Bowie,United Kingdom,1964-01-01
LEWIS CAPALDI,United Kingdom,2017-01-01
"Mark Ronson, Bruno Mars",Unknown,
"Alec Benjamin, Khalid",Unknown,
HARRY STYLES,United Kingdom,2010-01-01
TROYE SIVAN,Australia,2006-01-01
SEU JORGE,Brazil,1998-01-01
"Imagine Dragons, Baker Boy",Unknown,
João Só e Abandonados,Unknown,
THE WEEKND FEAT. FUTURE,Unknown,
"Bispo, Julinho Ksd",Unknown,
Chris Brown,United States,2002-01-01
HOZIER,Ireland,2008-01-01
CASSO x RAYE x D-BLOCK EUROPE,Unknown,
TIESTO,Kingdom of the Netherlands,1994-01-01
MARSHMELLO & KANE BROWN,Unknown,
"PITBULL feat. NE-YO, AFROJACK & NAYER",Unknown,
James Arthur,United Kingdom,2011-01-01
OneRepublic,Unknown,2002-01-01
"Shakira, Wyclef Jean",Unknown,
BECKY G & KAROL G,Colombia,2006-01-01
Linkin Park,Unknown,1996-01-01
MC LIVINHO & DJ MATT D,Unknown,
BIZARRAP & QUEVEDO,Argentina,1998-08-29
ED SHEERAN & BEYONCE,Unknown,
BISPO FEAT. JULINHO KSD,Unknown,
Lady Gaga,United States,2005-01-01
Birdy,United Kingdom,2008-01-01
KATY PERRY,United States,2001-01-01
KERI HILSON feat. KANYE WEST & NE-YO,United States,2004-01-01
"Bárbara Bandeira, Carminho",Portugal,2003-01-01
ZAYN FT. SIA,Unknown,
Megan Thee Stallion,United States,2016-01-01
Zoe Wees,Germany,2019-01-01
BENJAMIN INGROSSO,Sweden,2006-01-01
Ana Bacalhau,Unknown,2006-01-01
AFONSO DUBRAZ,Unknown,
KYGO FEAT. ZAK ABEL & NILE RODGERS,United Kingdom,2014-01-01
Julinho Ksd,Unknown,
Evanescence,Unknown,1994-01-01
CORINNE BAILEY RAY,United Kingdom,2003-01-01
"Sam Smith, Mary J. Blige",Unknown,
Jeff Buckley,United States,1990-01-01
BEBE REXHA,United States,2010-01-01
SAM SMITH & NORMANI,Unknown,
Sevdaliza,Kingdom of the Netherlands,2014-01-01
