radio,day,time_played,track_title,artist_name
Rádio Comercial,2024-10-27,,Lose Control,Teddy Swims
Rádio Comercial,2024-10-27,,Garota,"Maninho, Marisa Liz"
Rádio Comercial,2024-10-27,,Don'T You Worry Child,Swedish House Mafia
Rádio Comercial,2024-10-27,,Love The Hell Out Of You,Lewis Capaldi
Rádio Comercial,2024-10-27,,"Olá, Solidão",Os Quatro E Meia
Rádio Comercial,2024-10-27,,Die With A Smile,"Lady Gaga, Bruno Mars"
Rádio Comercial,2024-10-27,,All My Love,Coldplay
Rádio Comercial,2024-10-27,,The Door,Teddy Swims
Rádio Comercial,2024-10-27,,Birds Of A Feather,Billie Eilish
Rádio Comercial,2024-10-27,,The Emptiness Machine,Linkin Park
Rádio Comercial,2024-10-27,,Close To You,Gracie Abrams
Rádio Comercial,2024-10-27,,Amigos Coloridos,Bandidos Do Cante
Rádio Comercial,2024-10-27,,Diet Pepsi,Addison Rae
Rádio Comercial,2024-10-27,,Feelslikeimfallinginlove,Coldplay
Rádio Comercial,2024-10-27,,Beautiful Things,Benson Boone
Rádio Comercial,2024-10-27,,Love Yourself,Justin Bieber
Rádio Comercial,2024-10-27,,"Ela Não Sabe, Pois Não?",Bárbara Tinoco
Rádio Comercial,2024-10-27,,Bad Dreams,Teddy Swims
Rádio Comercial,2024-10-27,,Dancing In The Flames,The Weeknd
Rádio Comercial,2024-10-27,,Taste,Sabrina Carpenter
Rádio Comercial,2024-10-27,,Slow It Down,Benson Boone
Rádio Comercial,2024-10-27,,Re-Tratamento,Da Weasel
Rádio Comercial,2024-10-27,,Lucky,Halsey
Rádio Comercial,2024-10-27,,Moonlit Floor,Lisa [Th]
Rádio Comercial,2024-10-27,,Espresso,Sabrina Carpenter
Rádio Comercial,2024-10-27,,Si Antes Te Hubiera Conocido,Karol G
Rádio Comercial,2024-10-27,,Can'T Even Hate You,Cian Ducrot
Rádio Comercial,2024-10-27,,Desliza,Ana Moura
Rádio Comercial,2024-10-27,,Trevo,"Anavitória, Diogo Piçarra"
Rádio Comercial,2024-10-27,,Birds Of A Feather,Billie Eilish
Rádio Comercial,2024-10-27,,Everytime,Britney Spears
Rádio Comercial,2024-10-27,,Chakras,"Ivandro, Julinho Ksd"
Rádio Comercial,2024-10-27,,Rolling In The Deep,Adele
Rádio Comercial,2024-10-27,,Close To You,Gracie Abrams
Rádio Comercial,2024-10-27,,I Gotta Feeling,Black Eyed Peas
Rádio Comercial,2024-10-27,,"Ela Não Sabe, Pois Não?",Bárbara Tinoco
Rádio Comercial,2024-10-27,,What Do You Believe In,Rag'N'Bone Man
Rádio Comercial,2024-10-27,,Someone You Loved,Lewis Capaldi
Rádio Comercial,2024-10-27,,Follow You,Imagine Dragons
Rádio Comercial,2024-10-27,,Tata,Slow J
Rádio Comercial,2024-10-27,,Always Remember Us This Way,Lady Gaga
Rádio Comercial,2024-10-27,,Heaven,Niall Horan
Rádio Comercial,2024-10-27,,Até Ao Fim,Maninho
Rádio Comercial,2024-10-27,,Dancing In The Flames,The Weeknd
Rádio Comercial,2024-10-27,,Elastic Heart,"Sia, Diplo, The Weeknd"
Rádio Comercial,2024-10-27,,Noite,"Ivandro, Vitor Kley"
Rádio Comercial,2024-10-27,,What About Us,Pink
Rádio Comercial,2024-10-27,,Lucky,Halsey
Rádio Comercial,2024-10-27,,What Was I Made For?,Billie Eilish
Rádio Comercial,2024-10-27,,O Amor É Assim,"Hmb, Carminho"
Rádio Comercial,2024-10-27,,All The Right Moves,Onerepublic
Rádio Comercial,2024-10-27,,Belong Together,Mark Ambor
Rádio Comercial,2024-10-27,,Cidade,"Bárbara Tinoco, Bárbara Bandeira"
Rádio Comercial,2024-10-27,,Attention,Charlie Puth
Rádio Comercial,2024-10-27,,Si Antes Te Hubiera Conocido,Karol G
Rádio Comercial,2024-10-27,,Ouvi Dizer,Melim
Rádio Comercial,2024-10-27,,Love The Hell Out Of You,Lewis Capaldi
Rádio Comercial,2024-10-27,,Dani California,Red Hot Chili Peppers
Rádio Comercial,2024-10-27,,Maria Joana,"Nuno Ribeiro, Mariza, Calema"
Rádio Comercial,2024-10-27,,Firestone,"Kygo, Conrad"
Rádio Comercial,2024-10-27,,Si No Estás,Iñigo Quintero
Rádio Comercial,2024-10-27,,Garota,"Maninho, Marisa Liz"
Rádio Comercial,2024-10-27,,Slow It Down,Benson Boone
Rádio Comercial,2024-10-27,,Let Her Go,Passenger [Uk]
Rádio Comercial,2024-10-27,,A Bar Song (Tipsy),Shaboozey
Rádio Comercial,2024-10-27,,Lua,Ivandro
Rádio Comercial,2024-10-27,,Feel So Close,Calvin Harris
Rádio Comercial,2024-10-27,,Austin,Dasha
Rádio Comercial,2024-10-27,,Ao Teu Ouvido,"Buba Espinho, Bárbara Tinoco"
Rádio Comercial,2024-10-27,,The Emptiness Machine,Linkin Park
Rádio Comercial,2024-10-27,,Diamonds,Rihanna
Rádio Comercial,2024-10-27,,Amigos Coloridos,Bandidos Do Cante
Rádio Comercial,2024-10-27,,Uptown Funk,"Mark Ronson, Bruno Mars"
Rádio Comercial,2024-10-27,,Diet Pepsi,Addison Rae
Rádio Comercial,2024-10-27,,Wrecked,Imagine Dragons
Rádio Comercial,2024-10-27,,P'Ra Frente É Que É Lisboa,Os Quatro E Meia
Rádio Comercial,2024-10-27,,Let'S Get It Started,Black Eyed Peas
Rádio Comercial,2024-10-27,,Amigos,"Pablo Alborán, Maria Becerra"
Rádio Comercial,2024-10-27,,Contra Probabilidades,"Bispo, Julinho Ksd"
Rádio Comercial,2024-10-27,,Payphone,Maroon 5
Rádio Comercial,2024-10-27,,The Door,Teddy Swims
Rádio Comercial,2024-10-27,,Die With A Smile,"Lady Gaga, Bruno Mars"
Rádio Comercial,2024-10-27,,Boulevard Of Broken Dreams,Green Day
Rádio Comercial,2024-10-27,,Lembras-Te De Mim,"Nena [Pt], Carolina De Deus"
Rádio Comercial,2024-10-27,,Without You,"David Guetta, Usher"
Rádio Comercial,2024-10-27,,So Sick,Ne-Yo
Rádio Comercial,2024-10-27,,Flowers,Miley Cyrus
Rádio Comercial,2024-10-27,,Agarra Em Mim,"Ana Moura, Pedro Mafama"
Rádio Comercial,2024-10-27,,Can'T Even Hate You,Cian Ducrot
Rádio Comercial,2024-10-27,,Apneia,Tatiana Duarte
Rádio Comercial,2024-10-27,,Houdini,Eminem
Rádio Comercial,2024-10-27,,Someone Like You,Adele
Rádio Comercial,2024-10-27,,Houdini,Dua Lipa
Rádio Comercial,2024-10-27,,Feelslikeimfallinginlove,Coldplay
Rádio Comercial,2024-10-27,,Hey Brother,Avicii
Rádio Comercial,2024-10-27,,"Ela Não Sabe, Pois Não?",Bárbara Tinoco
Rádio Comercial,2024-10-27,,Do I Wanna Know?,Arctic Monkeys
Rádio Comercial,2024-10-27,,What Do You Believe In,Rag'N'Bone Man
Rádio Comercial,2024-10-27,,Stick Season,Noah Kahan
Rádio Comercial,2024-10-27,,Momento (Uma Espécie De Céu),"Pedro Abrunhosa, Cat"
Rádio Comercial,2024-10-27,,I'M With You,Avril Lavigne
Rádio Comercial,2024-10-27,,Shivers,Ed Sheeran
Rádio Comercial,2024-10-27,,Casa,Fernando Daniel
Rádio Comercial,2024-10-27,,The Monster,"Eminem, Rihanna"
Rádio Comercial,2024-10-27,,Birds Of A Feather,Billie Eilish
Rádio Comercial,2024-10-27,,Para Sempre [Unplugged],"Dengaz, Seu Jorge"
Rádio Comercial,2024-10-27,,Glimpse Of Us,Joji
Rádio Comercial,2024-10-27,,Bad Romance,Lady Gaga
Rádio Comercial,2024-10-27,,Noite,"Ivandro, Vitor Kley"
Rádio Comercial,2024-10-27,,Don'T Worry,"Madcon, Ray Dalton"
Rádio Comercial,2024-10-27,,Lose Control,Teddy Swims
Rádio Comercial,2024-10-27,,She Will Be Loved,Maroon 5
Rádio Comercial,2024-10-27,,All My Love,Coldplay
Rádio Comercial,2024-10-27,,The Nights,Avicii
Rádio Comercial,2024-10-27,,Chamada Não Atendida,Bárbara Tinoco
Rádio Comercial,2024-10-27,,Si Antes Te Hubiera Conocido,Karol G
Rádio Comercial,2024-10-27,,Perfect,Ed Sheeran
Rádio Comercial,2024-10-27,,Dancing In The Flames,The Weeknd
Rádio Comercial,2024-10-27,,Diet Pepsi,Addison Rae
Rádio Comercial,2024-10-27,,Apt.,"Rosé, Bruno Mars"
Rádio Comercial,2024-10-27,,Starlight,Sofia Camara
Rádio Comercial,2024-10-27,,Wait For You,Myles Smith
Rádio Comercial,2024-10-27,,That'S So True,Gracie Abrams
Rádio Comercial,2024-10-27,,Take Me To The Beach,"Imagine Dragons, Baker Boy"
Rádio Comercial,2024-10-27,,Freedom Of The Night,Sophie Ellis-Bextor
Rádio Comercial,2024-10-27,,Healing (Shattered Heart),"Kygo, Jonas Brothers"
Rádio Comercial,2024-10-27,,O Teu Cheiro,Bispo
Rádio Comercial,2024-10-27,,Bad Dreams,Teddy Swims
Rádio Comercial,2024-10-27,,Tu Não Mentes,Soraia Tavares
Rádio Comercial,2024-10-27,,Burning Down,Alex Warren
Rádio Comercial,2024-10-27,,Diz-Se Aí (2 Pares De Botas),"Nena [Pt], Joana Almeirante"
Rádio Comercial,2024-10-27,,In Your Hands,Craig David
Rádio Comercial,2024-10-27,,Put A Little Hurt On Me,Rag'N'Bone Man
Rádio Comercial,2024-10-27,,Do You No Wrong,Richie Campbell
Rádio Comercial,2024-10-27,,The Door,Teddy Swims
Rádio Comercial,2024-10-27,,Toxic,Britney Spears
Rádio Comercial,2024-10-27,,Na Escola,Os Quatro E Meia
Rádio Comercial,2024-10-27,,Ordinary Love,U2
Rádio Comercial,2024-10-27,,Complicated,Avril Lavigne
Rádio Comercial,2024-10-27,,Amigos Coloridos,Bandidos Do Cante
Rádio Comercial,2024-10-27,,Moonlit Floor,Lisa [Th]
Rádio Comercial,2024-10-27,,Shallow,"Lady Gaga, Bradley Cooper"
Rádio Comercial,2024-10-27,,A Bar Song (Tipsy),Shaboozey
Rádio Comercial,2024-10-27,,Fala-Me A Verdade,"Bia Caboz, Piruka"
Rádio Comercial,2024-10-27,,Team,Lorde
Rádio Comercial,2024-10-27,,Heaven,Cian Ducrot
Rádio Comercial,2024-10-27,,Até Ao Fim,Maninho
Rádio Comercial,2024-10-27,,The Emptiness Machine,Linkin Park
Rádio Comercial,2024-10-27,,Another Love,Tom Odell
Rádio Comercial,2024-10-27,,Apneia,Tatiana Duarte
Rádio Comercial,2024-10-27,,Magic,Coldplay
Rádio Comercial,2024-10-27,,Slow It Down,Benson Boone
Rádio Comercial,2024-10-27,,Forget Me,Lewis Capaldi
Rádio Comercial,2024-10-27,,Devia Ir (Versão Da Bárbara),Bárbara Tinoco
Rádio Comercial,2024-10-27,,Closer To The Edge,Thirty Seconds To Mars
Rádio Comercial,2024-10-27,,Because Of You,Kelly Clarkson
Rádio Comercial,2024-10-27,,Heaven,Niall Horan
Rádio Comercial,2024-10-27,,Os Croquetes Acabam,Nena [Pt]
Rádio Comercial,2024-10-27,,Am I Wrong,Nico & Vinz
Rádio Comercial,2024-10-27,,Die With A Smile,"Lady Gaga, Bruno Mars"
Rádio Comercial,2024-10-27,,Birds Of A Feather,Billie Eilish
Rádio Comercial,2024-10-27,,Before I Lose My Voice,Richie Campbell
Rádio Comercial,2024-10-27,,Demons,Imagine Dragons
Rádio Comercial,2024-10-27,,Tata,Slow J
Rádio Comercial,2024-10-27,,Lucky,Halsey
Rádio Comercial,2024-10-27,,All Good Things (Come To An End),"Nelly Furtado, Reamonn"
Rádio Comercial,2024-10-27,,Burguesinha (Ao Vivo),Seu Jorge
Rádio Comercial,2024-10-27,,Ghost Town,Benson Boone
Rádio Comercial,2024-10-27,,Mirrors,Justin Timberlake
Rádio Comercial,2024-10-27,,Nunca Mais Vou Lá Estar,"Miguel Carmona, Rita Rocha"
Rádio Comercial,2024-10-27,,Houdini,Eminem
Rádio Comercial,2024-10-27,,Hey There Delilah,Plain White T'S
Rádio Comercial,2024-10-27,,"Ela Não Sabe, Pois Não?",Bárbara Tinoco
Rádio Comercial,2024-10-27,,Thinking Out Loud,Ed Sheeran
Rádio Comercial,2024-10-27,,Belong Together,Mark Ambor
Rádio Comercial,2024-10-27,,Home,Daughtry
Rádio Comercial,2024-10-27,,"Olá, Solidão",Os Quatro E Meia
Rádio Comercial,2024-10-27,,Feelslikeimfallinginlove,Coldplay
Rádio Comercial,2024-10-27,,A Coisa Vai Andando,Beatriz Caixinha
Rádio Comercial,2024-10-27,,Human,Rag'N'Bone Man
Rádio Comercial,2024-10-27,,Noite,"Ivandro, Vitor Kley"
Rádio Comercial,2024-10-27,,Summer Jam,The Underdog Project
Rádio Comercial,2024-10-27,,Can'T Even Hate You,Cian Ducrot
Rádio Comercial,2024-10-27,,Sorte A Nossa,Catarina Filipe
Rádio Comercial,2024-10-27,,Bad Liar,Imagine Dragons
Rádio Comercial,2024-10-27,,Austin,Dasha
Rádio Comercial,2024-10-27,,Antes Dela Dizer Que Sim,Bárbara Tinoco
Rádio Comercial,2024-10-27,,Love Me Like You Do,Ellie Goulding
Rádio Comercial,2024-10-27,,Cover Me In Sunshine,"Pink, Willow Sage Hart"
Rádio Comercial,2024-10-27,,Casa,"D.A.M.A., Buba Espinho"
Rádio Comercial,2024-10-27,,Love The Way You Lie (Part Ii),"Rihanna, Eminem"
Rádio Comercial,2024-10-27,,Si Antes Te Hubiera Conocido,Karol G
Rádio Comercial,2024-10-27,,Moth To A Flame,"Swedish House Mafia, The Weeknd"
Rádio Comercial,2024-10-27,,Safe Inside,James Arthur
Rádio Comercial,2024-10-27,,Saudade,"Miguel Araújo, Os Quatro E Meia"
Rádio Comercial,2024-10-27,,Love The Hell Out Of You,Lewis Capaldi
Rádio Comercial,2024-10-27,,O Teu Cheiro,Bispo
Rádio Comercial,2024-10-27,,Hymn For The Weekend,"Coldplay, Beyoncé"
Rádio Comercial,2024-10-27,,Chakras,"Ivandro, Julinho Ksd"
Rádio Comercial,2024-10-27,,Diet Pepsi,Addison Rae
Rádio Comercial,2024-10-27,,Who Knew,Pink
Rádio Comercial,2024-10-27,,Onde Vais,"Bárbara Bandeira, Carminho"
Rádio Comercial,2024-10-27,,Bam Bam,"Camila Cabello, Ed Sheeran"
Rádio Comercial,2024-10-27,,Whatever It Takes,Imagine Dragons
Rádio Comercial,2024-10-27,,Bom Dia,"Bluay, Irina Barros"
Rádio Comercial,2024-10-27,,Amigos,"Pablo Alborán, Maria Becerra"
Rádio Comercial,2024-10-27,,Cry Me A River,Justin Timberlake
Rádio Comercial,2024-10-27,,Garota,"Maninho, Marisa Liz"
Rádio Comercial,2024-10-27,,One Kiss,"Calvin Harris, Dua Lipa"
Rádio Comercial,2024-10-27,,Dancing In The Flames,The Weeknd
Rádio Comercial,2024-10-27,,Where Are You Now,"Lost Frequencies, Calum Scott"
Rádio Comercial,2024-10-27,,So What,Pink
Rádio Comercial,2024-10-27,,Planeta,"Bispo, Bárbara Tinoco"
Rádio Comercial,2024-10-27,,Close To You,Gracie Abrams
Rádio Comercial,2024-10-27,,Tradição,S. Pedro
Rádio Comercial,2024-10-27,,The Lazy Song,Bruno Mars
Rádio Comercial,2024-10-27,,Amigos Coloridos,Bandidos Do Cante
Rádio Comercial,2024-10-27,,Another Perfect Day,American Hi-Fi
Rádio Comercial,2024-10-27,,Take Me To Church,Hozier
Rádio Comercial,2024-10-27,,Sometimes,Julinho Ksd
Rádio Comercial,2024-10-27,,What Do You Believe In,Rag'N'Bone Man
Rádio Comercial,2024-10-27,,All For You,"Cian Ducrot, Ella Henderson"
Rádio Comercial,2024-10-27,,Os Maridos Das Outras,Miguel Araújo
Rádio Comercial,2024-10-27,,Houdini,Dua Lipa
Rádio Comercial,2024-10-27,,I'M Not The Only One,Sam Smith
Rádio Comercial,2024-10-27,,Maria Joana,"Nuno Ribeiro, Mariza, Calema"
Rádio Comercial,2024-10-27,,A Million Dreams,Pink
Rádio Comercial,2024-10-27,,The Door,Teddy Swims
Rádio Comercial,2024-10-27,,Ghost,Justin Bieber
Rádio Comercial,2024-10-27,,Party Rock Anthem,"Lmfao, Lauren Bennett , Goonrock"
Rádio Comercial,2024-10-27,,Cidade,"Bárbara Tinoco, Bárbara Bandeira"
Rádio Comercial,2024-10-27,,Die With A Smile,"Lady Gaga, Bruno Mars"
Rádio Comercial,2024-10-27,,Capicuas,Rita Rocha
Rádio Comercial,2024-10-27,,Impossible,James Arthur
Rádio Comercial,2024-10-27,,Força (Uma Página De História),Da Weasel
Rádio Comercial,2024-10-27,,All My Love,Coldplay
Rádio Comercial,2024-10-27,,Beggin',Madcon
Rádio Comercial,2024-10-27,,Diz-Se Aí (2 Pares De Botas),"Nena [Pt], Joana Almeirante"
Rádio Comercial,2024-10-27,,In The Stars,Benson Boone
Rádio Comercial,2024-10-27,,Firework,Katy Perry
Rádio Comercial,2024-10-27,,Faz Bem,"Bluay, Julinho Ksd"
Rádio Comercial,2024-10-27,,A Bar Song (Tipsy),Shaboozey
Rádio Comercial,2024-10-27,,The Man Who Can'T Be Moved,The Script
Rádio Comercial,2024-10-27,,Apneia,Tatiana Duarte
Rádio Comercial,2024-10-27,,Natural,Imagine Dragons
Rádio Comercial,2024-10-27,,Stick Season,Noah Kahan
Rádio Comercial,2024-10-27,,Hips Don'T Lie,"Shakira, Wyclef Jean"
Rádio Comercial,2024-10-27,,Lua,Ivandro
Rádio Comercial,2024-10-27,,The Emptiness Machine,Linkin Park
Rádio Comercial,2024-10-27,,O Teu Cheiro,Bispo
Rádio Comercial,2024-10-27,,Waiting For Love,Avicii
Rádio Comercial,2024-10-27,,"Ela Não Sabe, Pois Não?",Bárbara Tinoco
Rádio Comercial,2024-10-27,,Wake Me Up When September Ends,Green Day
Rádio Comercial,2024-10-27,,Lucky,Halsey
Rádio Comercial,2024-10-27,,Dialectos Da Ternura,Da Weasel
Rádio Comercial,2024-10-27,,Easy On Me,Adele
Rádio Comercial,2024-10-27,,Chandelier,Sia
Rádio Comercial,2024-10-27,,Nunca Mais Vou Lá Estar,"Miguel Carmona, Rita Rocha"
Rádio Comercial,2024-10-27,,Lose Control,Teddy Swims
Rádio Comercial,2024-10-27,,Power Over Me,Dermot Kennedy
Rádio Comercial,2024-10-27,,Amanhã,Os Quatro E Meia
Rádio Comercial,2024-10-27,,A Sky Full Of Stars,Coldplay
Rádio Comercial,2024-10-27,,Birds Of A Feather,Billie Eilish
Rádio Comercial,2024-10-27,,Girls Like You,Maroon 5
Rádio Comercial,2024-10-27,,Celestial,Ed Sheeran
Rádio Comercial,2024-10-27,,Benção,"Mizzy Miles, Bispo, Van Zee"
Rádio Comercial,2024-10-27,,Jar Of Hearts,Christina Perri
Rádio Comercial,2024-10-27,,Heaven,Cian Ducrot
Rádio Comercial,2024-10-27,,A Coisa Vai Andando,Beatriz Caixinha
Rádio Comercial,2024-10-27,,Dancing In The Flames,The Weeknd
Rádio Comercial,2024-10-27,,Cold Heart [Pnau Remix],"Elton John, Dua Lipa"
Rádio Comercial,2024-10-27,,Noite,"Ivandro, Vitor Kley"
Rádio Comercial,2024-10-27,,Moonlit Floor,Lisa [Th]
Rádio Comercial,2024-10-27,,Arcade [Remix],"Duncan Laurence, Fletcher"
Rádio Comercial,2024-10-27,,Sorte A Nossa,Catarina Filipe
Rádio Comercial,2024-10-27,,Heaven,Niall Horan
Rádio Comercial,2024-10-27,,Juramento Eterno De Sal,Álvaro De Luna
Rádio Comercial,2024-10-27,,Apneia,Tatiana Duarte
Rádio Comercial,2024-10-27,,Feelslikeimfallinginlove,Coldplay
Rádio Comercial,2024-10-27,,Slow It Down,Benson Boone
Rádio Comercial,2024-10-27,,Te Amo,Calema
Rádio Comercial,2024-10-27,,Si Antes Te Hubiera Conocido,Karol G
Rádio Comercial,2024-10-27,,Make You Feel My Love,Adele
Rádio Comercial,2024-10-27,,Get Lucky,"Daft Punk, Pharrell Williams"
Rádio Comercial,2024-10-27,,Ao Teu Ouvido,"Buba Espinho, Bárbara Tinoco"
Rádio Comercial,2024-10-27,,Houdini,Eminem
Rádio Comercial,2024-10-27,,Bom Dia,"Bluay, Irina Barros"
Rádio Comercial,2024-10-27,,Love Yourself,Justin Bieber
Rádio Comercial,2024-10-27,,Agarra Em Mim,"Ana Moura, Pedro Mafama"
Rádio Comercial,2024-10-27,,Diet Pepsi,Addison Rae
Rádio Comercial,2024-10-27,,Big Yellow Taxi,Counting Crows
Rádio Comercial,2024-10-27,,O Tempo Vai Esperar,Os Quatro E Meia
Rádio Comercial,2024-10-27,,Belong Together,Mark Ambor
Rádio Comercial,2024-10-27,,Can'T Hold Us,"Macklemore & Ryan Lewis, Ray Dalton"
Rádio Comercial,2024-10-27,,Before I Lose My Voice,Richie Campbell
Rádio Comercial,2024-10-27,,As It Was,Harry Styles
Rádio Comercial,2024-10-27,,How To Save A Life,The Fray
Rádio Comercial,2024-10-27,,Garota,"Maninho, Marisa Liz"
Rádio Comercial,2024-10-27,,Dog Days Are Over,Florence And The Machine
Rádio Comercial,2024-10-26,,Love The Hell Out Of You,Lewis Capaldi
Rádio Comercial,2024-10-26,,Levitating,"Dua Lipa, Dababy"
Rádio Comercial,2024-10-26,,Times Like These [Acústico],Foo Fighters
Rádio Comercial,2024-10-26,,Contra Probabilidades,"Bispo, Julinho Ksd"
Rádio Comercial,2024-10-26,,Close To You,Gracie Abrams
Rádio Comercial,2024-10-26,,Believer,Imagine Dragons
Rádio Comercial,2024-10-26,,"Ela Não Sabe, Pois Não?",Bárbara Tinoco
Rádio Comercial,2024-10-26,,Locked Out Of Heaven,Bruno Mars
Rádio Comercial,2024-10-26,,Can'T Even Hate You,Cian Ducrot
Rádio Comercial,2024-10-26,,Snap,Rosa Linn
Rádio Comercial,2024-10-26,,Se Eu,"Fernando Daniel, Melim"
Rádio Comercial,2024-10-26,,I Need Your Love,"Calvin Harris, Ellie Goulding"
Rádio Comercial,2024-10-26,,The Story,Brandi Carlile
Rádio Comercial,2024-10-26,,Austin,Dasha
Rádio Comercial,2024-10-26,,Como Tu,"Bárbara Bandeira, Ivandro"
Rádio Comercial,2024-10-26,,Unstoppable,Sia
Rádio Comercial,2024-10-26,,The Door,Teddy Swims
Rádio Comercial,2024-10-26,,Breaking Me,"Topic, A7s"
Rádio Comercial,2024-10-26,,Hall Of Fame,"The Script , Will.I.Am"
Rádio Comercial,2024-10-26,,Lembras-Te De Mim,"Nena [Pt], Carolina De Deus"
Rádio Comercial,2024-10-26,,Die With A Smile,"Lady Gaga, Bruno Mars"
Rádio Comercial,2024-10-26,,Rockstar,Nickelback
Rádio Comercial,2024-10-26,,Melhor De Mim,Mariza
Rádio Comercial,2024-10-26,,Give Me Everything,"Pitbull, Ne-Yo"
Rádio Comercial,2024-10-26,,Mon Amour [Remix],"Zzoilo, Aitana"
Rádio Comercial,2024-10-26,,The Sweet Escape,"Gwen Stefani, Akon"
Rádio Comercial,2024-10-26,,Saudade,"Miguel Araújo, Os Quatro E Meia"
Rádio Comercial,2024-10-26,,All My Love,Coldplay
Rádio Comercial,2024-10-26,,Blinding Lights,The Weeknd
Rádio Comercial,2024-10-26,,A Bar Song (Tipsy),Shaboozey
Rádio Comercial,2024-10-26,,Noite,"Ivandro, Vitor Kley"
Rádio Comercial,2024-10-26,,Ho Hey,The Lumineers
Rádio Comercial,2024-10-26,,Amigos,"Pablo Alborán, Maria Becerra"
Rádio Comercial,2024-10-26,,Conversations In The Dark,John Legend
Rádio Comercial,2024-10-26,,Whataya Want From Me,Adam Lambert
Rádio Comercial,2024-10-26,,Casa,Fernando Daniel
Rádio Comercial,2024-10-26,,The Emptiness Machine,Linkin Park
Rádio Comercial,2024-10-26,,Skyfall,Adele
Rádio Comercial,2024-10-26,,Garota,"Maninho, Marisa Liz"
Rádio Comercial,2024-10-26,,Birds [Remix],"Imagine Dragons, Elisa [It]"
Rádio Comercial,2024-10-26,,What Do You Believe In,Rag'N'Bone Man
Rádio Comercial,2024-10-26,,Too Sweet,Hozier
Rádio Comercial,2024-10-26,,Despedida De Solteira,Bárbara Tinoco
Rádio Comercial,2024-10-26,,When I Was Your Man,Bruno Mars
Rádio Comercial,2024-10-26,,Keep Holding On,Avril Lavigne
Rádio Comercial,2024-10-26,,Houdini,Dua Lipa
Rádio Comercial,2024-10-26,,Fala-Me A Verdade,"Bia Caboz, Piruka"
Rádio Comercial,2024-10-26,,Blank Space (Taylor'S Version),Taylor Swift
Rádio Comercial,2024-10-26,,Birds Of A Feather,Billie Eilish
Rádio Comercial,2024-10-26,,A Terra Gira,Os Quatro E Meia
Rádio Comercial,2024-10-26,,Si Antes Te Hubiera Conocido,Karol G
Rádio Comercial,2024-10-26,,Fallin',Alicia Keys
Rádio Comercial,2024-10-26,,Faz Bem,"Bluay, Julinho Ksd"
Rádio Comercial,2024-10-26,,Stay,"Rihanna, Mikky Ekko"
Rádio Comercial,2024-10-26,,Bad Habits,Ed Sheeran
Rádio Comercial,2024-10-26,,"You Know, I'M No Good",Amy Winehouse
Rádio Comercial,2024-10-26,,Amigos Coloridos,Bandidos Do Cante
Rádio Comercial,2024-10-26,,Bad Dreams,Teddy Swims
Rádio Comercial,2024-10-26,,Someone You Loved,Lewis Capaldi
Rádio Comercial,2024-10-26,,Houdini,Eminem
Rádio Comercial,2024-10-26,,Chamada Não Atendida,Bárbara Tinoco
Rádio Comercial,2024-10-26,,Save The World,Swedish House Mafia
