artist_name,track_title,spotify_album,spotify_release_date,spotify_duration_ms,spotify_popularity,spotify_genres,spotify_danceability,spotify_energy,spotify_valence,spotify_acousticness,spotify_instrumentalness,spotify_liveness,spotify_speechiness,spotify_tempo,spotify_mode,spotify_loudness,spotify_time_signature,lyrics_polarity,lyrics_subjectivity,lyrics_joy,lyrics_sadness,lyrics_optimism,lyrics_anger,lyrics_language,lyrics_love_occurrences
"","",Artist 2.0,2020-02-14,188563,56,melodic rap,0.819,0.654,0.455,0.517,0.0,0.0996,0.136,133.503,0,-6.665,4,,,,,,,unknown,0
 ,So Se Quiseres,"",,,,"",,,,,,,,,,,,-0.008641975308641976,0.9604938271604939,23.794375360012054,14.585400372743607,45.26351988315582,16.356705129146576,pt,0
 ,Só Se Quiseres,"",,,,"",,,,,,,,,,,,-0.008641975308641976,0.9604938271604939,23.794375360012054,14.585400372743607,45.26351988315582,16.356705129146576,pt,0
10 Cc,Im Not In Love,The Original Soundtrack,1975-01-01,366640,68,album rock,0.404,0.523,0.164,0.685,0.000498,0.282,0.0575,133.738,1,-15.7,4,-0.008189655172413803,0.47399425287356317,17.86697506904602,44.665318727493286,12.136916816234589,25.330793857574463,en,7
116 Feat. Crystal Nicole,Silent Night,"",,,,"",,,,,,,,,,,,,,,,,,unknown,0
21 Savage,Redrum,american dream,2024-01-12,270697,81,atl hip hop,0.625,0.733,0.244,0.00598,0.000983,0.375,0.0488,172.09,1,-8.757,4,0.02099422799422801,0.3271746031746032,56.87327782313029,7.007641096909841,28.05442412694295,8.06465782225132,en,4
21 Savage ,A Lot,i am > i was,2018-12-21,288624,76,atl hip hop,,,,,,,,,,,,0.1682678785433024,0.4062666617751368,33.893477730453014,43.73857192695141,10.84688005503267,11.521069332957268,en,2
24kgoldn,Mood,El Dorado,2021-03-26,140533,80,cali rap,0.701,0.716,0.732,0.174,0.0,0.324,0.0361,91.007,0,-3.671,4,0.14567099567099567,0.47252053502053487,13.656460493803024,11.594566330313683,49.699509143829346,25.049462914466858,en,5
24kgoldn Feat. Iann Dior,Mood,El Dorado,2021-03-26,140533,78,"",,,,,,,,,,,,0.356060606060606,0.6146464646464647,3.02586629986763,4.341235011816025,88.97730708122253,3.655588999390602,en,2
3 Doors Down,Here Without You,Away From The Sun,2002-11-12,238733,75,alternative metal,0.557,0.533,0.233,0.0492,0.0,0.205,0.0252,143.994,0,-6.817,4,0.06458333333333333,0.5921875,2.245713770389557,70.05708813667297,14.87964540719986,12.81755268573761,en,2
4 Non Blondes,What'S Up,"Bigger, Better, Faster, More !",1992-01-01,295533,79,"",,,,,,,,,,,,0.1566774891774892,0.4297402597402597,3.1182131730020046,6.265625357627869,77.81295776367188,12.803205847740173,en,0
5 Seconds Of Summer,Youngblood,Youngblood (Deluxe),2018-06-15,203417,79,"",,,,,,,,,,,,-0.09374999999999999,0.4041666666666668,17.48865097761154,31.775976717472076,26.903634518384933,23.83173331618309,en,1
50 Cent ,P.I.M.P.,Get Rich Or Die Tryin',2003-02-06,249466,67,east coast hip hop,0.699,0.758,0.889,0.0443,0.0000128,0.0401,0.342,78.705,0,-3.012,4,-0.01820052375607932,0.43232590454812686,55.588058630625405,7.645800337195396,29.848262916008633,6.917880475521088,en,0
6ix9ine ,Kooda,Day69: Graduation Day,2018-04-10,142582,57,emo rap,0.889,0.626,0.193,0.187,0.0,0.218,0.347,91.196,1,-4.666,4,-0.1204656862745098,0.5306372549019608,80.73638081550598,3.3135424368083477,10.917212069034576,5.032866448163986,en,0
A Garota Não,Dilúvio,Dilúvio,2022-03-11,243794,33,portuguese rock,0.27,0.502,0.24,0.606,0.000162,0.377,0.0636,68.171,1,-8.797,3,-0.07023076923076924,0.6007948717948718,9.6189945936203,5.662721395492554,71.51512503623962,13.20316344499588,pt,7
A Great Big World / Christina Aguilera,Say Something,Is There Anybody Out There?,2014-01-20,229400,68,neo mellow,0.407,0.147,0.0765,0.857,2.89e-6,0.0913,0.0355,141.284,1,-8.822,3,0.2523809523809524,0.4642857142857142,3.510618954896927,87.45335340499878,3.7196174263954163,5.316412448883057,en,2
"A Great Big World, Christina Aguilera",Say Something,Is There Anybody Out There?,2014-01-20,229400,68,neo mellow,0.407,0.147,0.0765,0.857,2.89e-6,0.0913,0.0355,141.284,1,-8.822,3,0.2523809523809524,0.4642857142857142,3.510618954896927,87.45335340499878,3.7196174263954163,5.316412448883057,en,2
Adam Lambert,Whataya Want From Me,For Your Entertainment,2009-11-23,227320,59,dance pop,0.44,0.683,0.445,0.00706,0.0,0.0593,0.0489,185.948,0,-4.732,4,-0.036545729402872255,0.4279289493575209,19.354087114334106,16.28974676132202,28.48648577928543,35.86968332529068,en,0
